invoice_id,customer_id,customer_name,invoice_date,due_date,amount,currency,status,description
INV-000001,CUST-000001,Acme Corp,2024-06-08,2024-03-23,7841.48,USD,pending,Service 1
INV-000002,CUST-000002,TechStart Inc,2024-11-14,2024-06-15,3637.7,USD,pending,Service 2
INV-000003,CUST-000003,Global Traders,2024-03-14,2024-06-20,36160.57,USD,pending,Service 3
INV-000004,CUST-000004,Innovate Solutions,2024-12-18,2024-03-26,49457.15,USD,pending,Service 4
INV-000005,CUST-000005,DataFlow Systems,2024-08-27,2024-05-16,38465.26,EUR,pending,Service 5
INV-000006,CUST-000006,CloudNine Hosting,2024-08-23,2024-03-06,37701.62,GBP,pending,Service 6
INV-000007,CUST-000007,Enterprise Holdings,2024-08-14,2024-09-18,23628.8,USD,pending,Service 7
INV-000008,CUST-000008,StartupXYZ,2024-04-16,2024-06-26,46921.53,USD,pending,Service 8
INV-000009,CUST-000009,MegaCorp Industries,2024-11-03,2024-08-03,15571.05,USD,pending,Service 9
INV-000010,CUST-000010,SmallBiz Co,2024-03-07,2024-07-28,18495.75,USD,pending,Service 10
INV-000011,CUST-000011,FutureTech Labs,2024-03-20,2024-09-23,33088.72,EUR,pending,Service 11
INV-000012,CUST-000012,Euro Partners,2024-04-04,2024-07-17,26013.91,GBP,pending,Service 12
INV-000013,CUST-000013,British Solutions,2024-12-17,2024-05-26,18706.82,USD,pending,Service 13
INV-000014,CUST-000014,QuickPay Corp,2024-09-26,2024-06-12,15367.23,USD,pending,Service 14
INV-000015,CUST-000015,Alpha Dynamics,2024-05-06,2024-01-23,7054.59,USD,pending,Service 15
INV-000016,CUST-000016,Beta Industries,2024-07-24,2024-02-05,35607.69,USD,pending,Service 16
INV-000017,CUST-000017,Gamma Solutions,2024-09-28,2024-02-21,29906.4,EUR,pending,Service 17
INV-000018,CUST-000018,Delta Services,2024-01-26,2024-02-02,43884.33,GBP,pending,Service 18
INV-000019,CUST-000019,Epsilon Tech,2024-05-18,2024-05-24,24680.36,USD,pending,Service 19
INV-000020,CUST-000020,Zeta Corp,2024-11-24,2024-12-04,44783.49,USD,pending,Service 20
INV-000021,CUST-000001,Acme Corp,2024-05-22,2024-12-19,47176.43,USD,pending,Service 21
INV-000022,CUST-000002,TechStart Inc,2024-06-17,2024-08-22,19350.76,USD,pending,Service 22
INV-000023,CUST-000003,Global Traders,2024-05-23,2024-06-11,30101.09,EUR,pending,Service 23
INV-000024,CUST-000004,Innovate Solutions,2024-08-05,2024-04-04,16858.2,GBP,pending,Service 24
INV-000025,CUST-000005,DataFlow Systems,2024-10-27,2024-09-02,17436.68,USD,pending,Service 25
INV-000026,CUST-000006,CloudNine Hosting,2024-09-23,2024-12-27,10969.54,USD,pending,Service 26
INV-000027,CUST-000007,Enterprise Holdings,2024-08-07,2024-04-21,46269.6,USD,pending,Service 27
INV-000028,CUST-000008,StartupXYZ,2024-09-23,2024-10-16,12971.52,USD,pending,Service 28
INV-000029,CUST-000009,MegaCorp Industries,2024-03-04,2024-06-19,30362.39,EUR,pending,Service 29
INV-000030,CUST-000010,SmallBiz Co,2024-02-22,2024-11-14,30659.2,GBP,pending,Service 30
INV-000031,CUST-000001,Acme Corp,2024-06-12,2024-12-16,46298.54,USD,pending,Tolerance service 1
INV-000032,CUST-000002,TechStart Inc,2024-12-03,2024-01-17,22166.92,USD,pending,Tolerance service 2
INV-000033,CUST-000003,Global Traders,2024-03-13,2024-11-08,5840.26,USD,pending,Tolerance service 3
INV-000034,CUST-000004,Innovate Solutions,2024-12-06,2024-09-05,29320.21,USD,pending,Tolerance service 4
INV-000035,CUST-000005,DataFlow Systems,2024-05-22,2024-06-07,2679.97,EUR,pending,Tolerance service 5
INV-000036,CUST-000006,CloudNine Hosting,2024-03-10,2024-11-24,5375.59,GBP,pending,Tolerance service 6
INV-000037,CUST-000007,Enterprise Holdings,2024-03-12,2024-11-26,36287.84,USD,pending,Tolerance service 7
INV-000038,CUST-000001,Acme Corp,2024-11-25,2024-06-19,44900.7,USD,pending,Duplicate test 1
INV-000039,CUST-000002,TechStart Inc,2024-08-05,2024-09-28,32408.65,USD,pending,Duplicate test 2
INV-000040,CUST-000100,Orphan Customer 1,2024-06-21,2024-12-03,36704.79,USD,pending,Orphan invoice 1
INV-000041,CUST-000101,Orphan Customer 2,2024-10-11,2024-08-16,17727.43,USD,pending,Orphan invoice 2
INV-000042,CUST-000102,Orphan Customer 3,2024-11-07,2024-09-19,15491.82,USD,pending,Orphan invoice 3
INV-000043,CUST-000103,Orphan Customer 4,2024-03-24,2024-03-03,30887.05,USD,pending,Orphan invoice 4
INV-000044,CUST-000104,Orphan Customer 5,2024-03-25,2024-08-24,43102.79,USD,pending,Orphan invoice 5
INV-000045,CUST-000105,Orphan Customer 6,2024-11-20,2024-07-12,26100.74,USD,pending,Orphan invoice 6
INV-000046,CUST-000106,Orphan Customer 7,2024-08-19,2024-01-24,7736.06,USD,pending,Orphan invoice 7
INV-000047,CUST-000107,Orphan Customer 8,2024-07-05,2024-12-28,31281.73,USD,pending,Orphan invoice 8
INV-000048,CUST-000108,Orphan Customer 9,2024-11-05,2024-12-08,49372.43,USD,pending,Orphan invoice 9
INV-000049,CUST-000109,Orphan Customer 10,2024-02-12,2024-09-09,15794.55,USD,pending,Orphan invoice 10
INV-000050,CUST-000110,Orphan Customer 11,2024-07-13,2024-08-02,32658.45,USD,pending,Orphan invoice 11
